codadesao;cod_ata;cod_uasg;procsei;dataregistro;datasolic;encaminhaoficio;recebrespfornec;enviorespcentral;status
61;90;15769;05110.003844/2018-16;2019/07/18 15:18:29.000000000;2018/09/11 00:00:00.000;2018/09/11 00:00:00.000;2018/10/29 00:00:00.000;2018/10/30 00:00:00.000;1                                                                                                                                                                                                                                                              
62;90;9699;05110.003859/2018-84;2019/07/18 15:18:29.000000000;2018/09/12 00:00:00.000;2018/09/12 00:00:00.000;2018/09/24 00:00:00.000;2018/09/25 00:00:00.000;1                                                                                                                                                                                                                                                              
63;90;12641;05110.003868/2018-75;2019/07/18 15:18:29.000000000;2018/11/09 00:00:00.000;2018/09/12 00:00:00.000;2018/11/29 00:00:00.000;2018/11/30 00:00:00.000;1                                                                                                                                                                                                                                                              
64;90;7555;05110.004311/2018-51;2019/07/18 15:18:29.000000000;2018/10/19 00:00:00.000;2018/10/26 00:00:00.000;2018/10/29 00:00:00.000;2018/11/01 00:00:00.000;0                                                                                                                                                                                                                                                              
65;90;11632;05110.003871/2018-99;2019/07/18 15:18:29.000000000;2018/09/13 00:00:00.000;2018/09/13 00:00:00.000;2018/10/02 00:00:00.000;2018/10/10 00:00:00.000;1                                                                                                                                                                                                                                                              
66;90;9886;05110.003877/2018-66;2019/07/18 15:18:29.000000000;2018/09/13 00:00:00.000;2018/06/13 00:00:00.000;2018/09/14 00:00:00.000;2018/09/20 00:00:00.000;1                                                                                                                                                                                                                                                              
67;90;10489;05110.003880/2018-80;2019/07/18 15:18:29.000000000;2018/09/13 00:00:00.000;2018/09/13 00:00:00.000;2018/09/14 00:00:00.000;2018/09/26 00:00:00.000;1                                                                                                                                                                                                                                                              
68;90;7905;05110.003893/2018-59;2019/07/18 15:18:29.000000000;2018/09/13 00:00:00.000;2018/09/14 00:00:00.000;;;0                                                                                                                                                                                                                                                              
69;90;9703;05110.003925/2018-16;2019/07/18 15:18:29.000000000;2018/09/17 00:00:00.000;2018/09/18 00:00:00.000;2018/10/05 00:00:00.000;2018/10/08 00:00:00.000;1                                                                                                                                                                                                                                                              
70;90;5947;05110.003946/2018-31;2019/07/18 15:18:29.000000000;2018/09/19 00:00:00.000;2018/09/19 00:00:00.000;;;0                                                                                                                                                                                                                                                              
71;90;361;05110.003947/2018-86;2019/07/18 15:18:29.000000000;2018/09/18 00:00:00.000;2018/09/19 00:00:00.000;;;0                                                                                                                                                                                                                                                              
72;90;361;05110.003947/2018-86;2019/07/18 15:18:29.000000000;2018/09/18 00:00:00.000;2018/09/19 00:00:00.000;;;0                                                                                                                                                                                                                                                              
73;90;361;05110.003947/2018-86;2019/07/18 15:18:29.000000000;2018/09/18 00:00:00.000;2018/09/19 00:00:00.000;;;0                                                                                                                                                                                                                                                              
74;90;5885;05110.003978/2018-37;2019/07/18 15:18:29.000000000;2018/09/21 00:00:00.000;2018/09/21 00:00:00.000;2018/10/05 00:00:00.000;2018/10/09 00:00:00.000;1                                                                                                                                                                                                                                                              
